County,Year,Crime,Arrests,Age Group,Which,Year group,Rate
Adams,1992,Aggravated Assault,1654,Adult,Violent,1992-1994,82.79
Adams,1992,Aggravated Assault,510,Juvenile,Violent,1992-1994,154.37
Adams,1992,Arson,14,Adult,Property,1992-1994,0.7
Adams,1992,Arson,50,Juvenile,Property,1992-1994,15.13
Adams,1992,Burglary,304,Adult,Property,1992-1994,15.22
Adams,1992,Burglary,354,Juvenile,Property,1992-1994,107.15
Adams,1992,Drug Violations,1180,Adult,Drug,1992-1994,59.07
Adams,1992,Drug Violations,217,Juvenile,Drug,1992-1994,65.68
Adams,1992,Forcible rape,84,Adult,Violent,1992-1994,4.2
Adams,1992,Forcible rape,19,Juvenile,Violent,1992-1994,5.75
Adams,1992,Larceny/Theft,3889,Adult,Property,1992-1994,194.67
Adams,1992,Larceny/Theft,3001,Juvenile,Property,1992-1994,908.38
Adams,1992,Motor Vehicle Theft,202,Adult,Property,1992-1994,10.11
Adams,1992,Motor Vehicle Theft,259,Juvenile,Property,1992-1994,78.4
Adams,1992,Murder/Manslaughter,29,Adult,Violent,1992-1994,1.45
Adams,1992,Murder/Manslaughter,9,Juvenile,Violent,1992-1994,2.72
Adams,1992,Robbery,168,Adult,Violent,1992-1994,8.41
Adams,1992,Robbery,105,Juvenile,Violent,1992-1994,31.78
Alamosa,1992,Aggravated Assault,19,Adult,Violent,1992-1994,19.65
Alamosa,1992,Aggravated Assault,3,Juvenile,Violent,1992-1994,18.08
Alamosa,1992,Arson,1,Adult,Property,1992-1994,1.03
Alamosa,1992,Arson,0,Juvenile,Property,1992-1994,0
Alamosa,1992,Burglary,13,Adult,Property,1992-1994,13.44
Alamosa,1992,Burglary,7,Juvenile,Property,1992-1994,42.19
Alamosa,1992,Drug Violations,16,Adult,Drug,1992-1994,16.54
Alamosa,1992,Drug Violations,3,Juvenile,Drug,1992-1994,18.08
Alamosa,1992,Forcible rape,2,Adult,Violent,1992-1994,2.07
Alamosa,1992,Forcible rape,0,Juvenile,Violent,1992-1994,0
Alamosa,1992,Larceny/Theft,144,Adult,Property,1992-1994,148.9
Alamosa,1992,Larceny/Theft,81,Juvenile,Property,1992-1994,488.25
Alamosa,1992,Motor Vehicle Theft,7,Adult,Property,1992-1994,7.24
Alamosa,1992,Motor Vehicle Theft,6,Juvenile,Property,1992-1994,36.17
Alamosa,1992,Murder/Manslaughter,2,Adult,Violent,1992-1994,2.07
Alamosa,1992,Murder/Manslaughter,1,Juvenile,Violent,1992-1994,6.03
Alamosa,1992,Robbery,0,Adult,Violent,1992-1994,0
Alamosa,1992,Robbery,0,Juvenile,Violent,1992-1994,0
Arapahoe,1992,Aggravated Assault,248,Adult,Violent,1992-1994,8.15
Arapahoe,1992,Aggravated Assault,49,Juvenile,Violent,1992-1994,10.18
Arapahoe,1992,Arson,4,Adult,Property,1992-1994,0.13
Arapahoe,1992,Arson,36,Juvenile,Property,1992-1994,7.48
Arapahoe,1992,Burglary,92,Adult,Property,1992-1994,3.02
Arapahoe,1992,Burglary,96,Juvenile,Property,1992-1994,19.94
Arapahoe,1992,Drug Violations,212,Adult,Drug,1992-1994,6.96
Arapahoe,1992,Drug Violations,48,Juvenile,Drug,1992-1994,9.97
Arapahoe,1992,Forcible rape,7,Adult,Violent,1992-1994,0.23
Arapahoe,1992,Forcible rape,2,Juvenile,Violent,1992-1994,0.42
Arapahoe,1992,Larceny/Theft,931,Adult,Property,1992-1994,30.58
