Years,Crime,Count,Population,ArrestRates,Which,Age Group,Group Year
1980,Drug,"1,297",379611,341.67,Drug,Juvenile,1980-1984
1981,Drug,"1,239",380535,325.59,Drug,Juvenile,1980-1984
1982,Drug,"1,094",379180,288.52,Drug,Juvenile,1980-1984
1983,Drug,837,378152,221.34,Drug,Juvenile,1980-1984
1984,Drug,940,374515,250.99,Drug,Juvenile,1980-1984
1985,Drug,"1,089",372734,292.17,Drug,Juvenile,1985-1989
1986,Drug,985,369585,266.52,Drug,Juvenile,1985-1989
1987,Drug,874,367668,237.71,Drug,Juvenile,1985-1989
1988,Drug,972,360255,269.81,Drug,Juvenile,1985-1989
1989,Drug,926,355354,260.59,Drug,Juvenile,1985-1989
1990,Drug,664,355862,186.59,Drug,Juvenile,1990-1994
1991,Drug,718,367231,195.52,Drug,Juvenile,1990-1994
1992,Drug,920,381550,241.12,Drug,Juvenile,1990-1994
1993,Drug,"1,690",396675,426.04,Drug,Juvenile,1990-1994
1994,Drug,,411405,,Drug,Juvenile,1990-1994
1995,Drug,"2,573",425421,604.81,Drug,Juvenile,1995-1999
1996,Drug,"3,065",438447,699.06,Drug,Juvenile,1995-1999
1997,Drug,"3,687",451896,815.9,Drug,Juvenile,1995-1999
1998,Drug,"4,051",467035,867.39,Drug,Juvenile,1995-1999
1999,Drug,"3,945",482879,816.97,Drug,Juvenile,1995-1999
2000,Drug,"3,855",499995,771.01,Drug,Juvenile,2000-2004
2001,Drug,"4,084",510740,799.62,Drug,Juvenile,2000-2004
2002,Drug,"3,746",515931,726.07,Drug,Juvenile,2000-2004
2003,Drug,"3,581",518561,690.56,Drug,Juvenile,2000-2004
2004,Drug,"3,562",518964,686.37,Drug,Juvenile,2000-2004
2005,Drug,"3,860",519729,742.69,Drug,Juvenile,2005-2009
2006,Drug,"3,627",523931,692.27,Drug,Juvenile,2005-2009
2007,Drug,"3,705",527950,701.77,Drug,Juvenile,2005-2009
2008,Drug,"3,731",529031,705.25,Drug,Juvenile,2005-2009
2009,Drug,"3,332",531241,627.21,Drug,Juvenile,2005-2009
2010,Drug,"3,516",534850,657.38,Drug,Juvenile,2010-2014
2011,Drug,3515,541193,649.49,Drug,Juvenile,2010-2014
2012,Drug,3236,548008,590.5,Drug,Juvenile,2010-2014
2013,Drug,3079,557738,552.05,Drug,Juvenile,2010-2014
2014,Drug,3402,569052,597.84,Drug,Juvenile,2010-2014
2015,Drug,3021,582108,518.98,Drug,Juvenile,2015-2019
2016,Drug,2673,594505,449.62,Drug,Juvenile,2015-2019
1980,Drug,"4,657",2097530,222.02,Drug,Adult,1980-1984
1981,Drug,"5,094",2159216,235.92,Drug,Adult,1980-1984
1982,Drug,"6,361",2230324,285.21,Drug,Adult,1980-1984
1983,Drug,"5,825",2285869,254.83,Drug,Adult,1980-1984
1984,Drug,"6,440",2315719,278.1,Drug,Adult,1980-1984
1985,Drug,"6,485",2346049,276.42,Drug,Adult,1985-1989
1986,Drug,"6,453",2367485,272.57,Drug,Adult,1985-1989
1987,Drug,"6,414",2383670,269.08,Drug,Adult,1985-1989
1988,Drug,"7,973",2390616,333.51,Drug,Adult,1985-1989
1989,Drug,"8,102",2409125,336.3,Drug,Adult,1985-1989
1990,Drug,"6,751",2437182,277,Drug,Adult,1990-1994
1991,Drug,"6,921",2497030,277.17,Drug,Adult,1990-1994
1992,Drug,"7,734",2579930,299.78,Drug,Adult,1990-1994
1993,Drug,"8,973",2667855,336.34,Drug,Adult,1990-1994
1994,Drug,,2749189,,Drug,Adult,1990-1994
1995,Drug,"9,507",2824583,336.58,Drug,Adult,1995-1999
1996,Drug,"14,604",2894909,504.47,Drug,Adult,1995-1999
