Years,Crime,CO Number,CO Rate,US Number,US Rate,Which,Group Year
1980,Homicide,,6.9,,,Violent,1980-1984
1981,Homicide,,8.1,,,Violent,1980-1984
1982,Homicide,,6,,,Violent,1980-1984
1983,Homicide,,6.4,,,Violent,1980-1984
1984,Homicide,,5.8,,,Violent,1980-1984
1985,Homicide,,5.8,,,Violent,1985-1989
1986,Homicide,,7,,,Violent,1985-1989
1987,Homicide,,5.8,,,Violent,1985-1989
1988,Homicide,,5.7,,,Violent,1985-1989
1989,Homicide,,4.4,,,Violent,1985-1989
1990,Homicide,,4.2,,,Violent,1990-1994
1991,Homicide,,5.9,,,Violent,1990-1994
1992,Homicide,,6.2,,,Violent,1990-1994
1993,Homicide,,5.8,,,Violent,1990-1994
1994,Homicide,,5.4,,,Violent,1990-1994
1995,Homicide,,5.8,21606,8.2,Violent,1995-1999
1996,Homicide,,4.7,19645,7.4,Violent,1995-1999
1997,Homicide,176,4.5,18208,6.8,Violent,1995-1999
1998,Homicide,178,4.4,16974,6.3,Violent,1995-1999
1999,Homicide,187,4.5,15522,5.7,Violent,1995-1999
2000,Homicide,132,3,15586,5.5,Violent,2000-2004
2001,Homicide,143,3.2,16037,5.6,Violent,2000-2004
2002,Homicide,174,3.8,16229,5.6,Violent,2000-2004
2003,Homicide,168,3.7,16528,5.7,Violent,2000-2004
2004,Homicide,199,4.3,16148,5.5,Violent,2000-2004
2005,Homicide,170,3.6,16740,5.6,Violent,2005-2009
2006,Homicide,157,3.3,17309,5.8,Violent,2005-2009
2007,Homicide,150,3.1,17128,5.7,Violent,2005-2009
2008,Homicide,151,3,16465,5.4,Violent,2005-2009
2009,Homicide,169,3.3,15399,5,Violent,2005-2009
2010,Homicide,129,2.5,14722,4.8,Violent,2010-2014
2011,Homicide,156,3,14661,4.7,Violent,2010-2014
2012,Homicide,160,3.1,14856,4.7,Violent,2010-2014
2013,Homicide,172,3.3,14319,4.5,Violent,2010-2014
2014,Homicide,150,2.8,14164,4.4,Violent,2010-2014
2015,Homicide,172,3.2,15696,4.9,Violent,2015-2019
2016,Homicide,189,3.4,,,Violent,2015-2019
1980,Rape,,52.5,,,Violent,1980-1984
1981,Rape,,45.6,,,Violent,1980-1984
1982,Rape,,44.5,,,Violent,1980-1984
1983,Rape,,41.9,,,Violent,1980-1984
1984,Rape,,39,,,Violent,1980-1984
1985,Rape,,40.9,,,Violent,1985-1989
1986,Rape,,42.3,,,Violent,1985-1989
1987,Rape,,40.8,,,Violent,1985-1989
1988,Rape,,38.6,,,Violent,1985-1989
1989,Rape,,36.2,,,Violent,1985-1989
1990,Rape,,46.2,,,Violent,1990-1994
1991,Rape,,47,,,Violent,1990-1994
1992,Rape,,47.3,,,Violent,1990-1994
1993,Rape,,45.8,,,Violent,1990-1994
1994,Rape,,43.2,,,Violent,1990-1994
1995,Rape,,39.5,97470,37.1,Violent,1995-1999
1996,Rape,,46.2,96252,36.3,Violent,1995-1999
1997,Rape,1794,46.1,96153,35.9,Violent,1995-1999
1998,Rape,1818,45.3,93144,34.5,Violent,1995-1999
1999,Rape,1617,39,89411,32.8,Violent,1995-1999
2000,Rape,1682,39.1,90178,32,Violent,2000-2004
2001,Rape,1701,38.5,90863,31.8,Violent,2000-2004
2002,Rape,1997,44.3,95235,33.1,Violent,2000-2004
2003,Rape,1797,39.2,93883,32.3,Violent,2000-2004
2004,Rape,1870,40.3,95089,32.4,Violent,2000-2004
2005,Rape,1971,41.8,94347,31.8,Violent,2005-2009
2006,Rape,2030,42.3,94472,31.6,Violent,2005-2009
2007,Rape,1949,39.7,92160,30.6,Violent,2005-2009
2008,Rape,2026,40.4,90750,29.8,Violent,2005-2009
2009,Rape,2097,41.3,89241,29.1,Violent,2005-2009
2010,Rape,2168,42,85593,27.7,Violent,2010-2014
2011,Rape,2236,43.7,84175,27,Violent,2010-2014
2012,Rape,2055,39.6,85141,27.1,Violent,2010-2014
2013,Rape,2903,55.1,113695,35.9,Violent,2010-2014
2014,Rape,2961,55.3,118027,37,Violent,2010-2014
2015,Rape,3275,60.2,124047,38.6,Violent,2015-2019
2016,Rape,3512,63.2,,,Violent,2015-2019
1980,Robbery,,160.1,,,Violent,1980-1984
1981,Robbery,,159.5,,,Violent,1980-1984
1982,Robbery,,150.6,,,Violent,1980-1984
1983,Robbery,,126.4,,,Violent,1980-1984
1984,Robbery,,114,,,Violent,1980-1984
1985,Robbery,,124.2,,,Violent,1985-1989
1986,Robbery,,144.8,,,Violent,1985-1989
1987,Robbery,,118.8,,,Violent,1985-1989
1988,Robbery,,98.8,,,Violent,1985-1989
1989,Robbery,,90,,,Violent,1985-1989
1990,Robbery,,90.6,,,Violent,1990-1994
1991,Robbery,,107.4,,,Violent,1990-1994
1992,Robbery,,120.5,,,Violent,1990-1994
